run_idx,drag
131,355.14301488813095
430,357.4267330315047
392,357.4285832694804
107,361.60234198365305
340,363.0495247847683
308,365.5489373170699
415,366.88733758940987
456,371.91014567673193
359,372.08832431052616
330,372.16481590831586
220,372.2846927768694
279,374.1221425174924
48,376.43305024256233
289,376.5383659774714
198,378.20631952706066
80,378.8621341611704
10,378.9525024623614
179,379.47170104529454
388,380.1792515089652
5,380.3205252323888
499,381.1339880056378
317,381.84386739975605
309,382.5551029773018
384,383.26455249461054
472,383.32449435696645
300,384.9143801435321
7,385.25514860856566
109,386.6059424382754
207,386.75148460467085
134,388.491355618285
355,389.0668524060098
284,390.071167054855
50,391.71408446231175
94,392.38590234124416
114,392.4739210384969
166,392.6593231424624
16,392.751328523186
120,393.0842435643108
457,393.3502384971803
321,393.97033149469746
188,395.1550069749564
373,395.64435006682345
440,395.710592152186
177,395.71559555132836
37,396.174643723932
76,396.37250041519985
222,397.44834129372407
479,397.81002167112456
395,399.753593382337
235,400.7825170945626
32,402.49032995041085
411,402.7254388431506
450,403.4696145598174
142,404.01283594733167
253,404.17289290140064
43,404.34395203108727
189,404.5772965592602
375,404.69066643982217
175,405.447114989318
462,406.0223866296444
418,406.0346940240766
257,406.04855234200596
85,407.5292848066528
276,407.74715029183227
443,407.8260214106245
262,409.0066229129904
398,409.1566025808454
168,409.4922082689378
157,409.88632844089267
346,410.12001697411574
128,410.5288352820567
301,411.8987683706995
369,411.94990242592564
475,412.1895122657245
267,412.26479272466247
74,412.37953425623624
425,413.81287744204633
335,413.9644846562059
3,414.14804805476155
101,414.1652694196969
12,414.30304566909234
232,414.6422036458251
441,414.77813067356874
482,415.3832090339586
60,416.35742384288113
389,416.9476517208403
402,417.0516294269626
314,417.153145088774
137,417.22945228421304
435,417.31867510948143
438,417.50355810840904
68,418.25771438648775
464,418.4419197115701
106,419.0053632826789
117,419.3558557640126
255,419.5424157565823
87,419.56769426135975
349,419.8865547349493
45,419.93046578787374
67,420.2293312205996
263,420.8684263096703
241,421.9841305656162
496,422.29616111118355
64,422.3459704623205
124,422.66844491318614
91,423.42587315223324
201,423.47511725480945
365,424.2420357560982
42,424.3808709247733
96,424.4530032423698
172,425.0751037094691
498,425.5137593714065
214,425.6877981842297
194,425.90463988308284
119,427.2744992535008
100,427.3440735269862
164,427.8632305032459
383,427.90463547863226
319,428.0473488847597
366,428.16381923623806
397,428.2277318915458
150,428.6101529737215
53,428.6309383631725
326,428.67127500195573
331,428.8016446935326
447,428.89540010966124
227,429.23051644317593
328,429.3833667768406
230,429.44141683008985
169,429.50192752926483
130,429.6540414447019
426,430.207087667625
246,430.24809658359425
332,430.4447585952497
21,430.73320217418103
26,431.25328220026597
6,431.4287908219123
33,432.0230445693576
162,432.335845289311
209,432.70887840475194
13,433.02589826126126
264,433.114635657662
453,433.4072298594958
81,433.6823309543291
416,434.3127804371933
287,434.8005268657172
152,435.46391902579967
352,435.525996901664
242,435.68369013728295
237,435.8844838906158
98,436.01215176160207
333,436.03173930648796
233,436.4543735835377
356,436.47711214302234
449,436.96242337055196
423,437.1772184434773
273,437.77817360720326
362,437.96657460969107
82,438.030260691019
185,438.25510135895024
428,438.2743268980422
144,438.58109365921274
278,438.79209310828446
432,439.3337947218476
55,440.4094561433148
372,440.4910619403161
217,440.55340342951143
31,440.7888140592029
459,440.8875261507341
126,441.4261341191865
337,442.0240854425849
485,442.2212984192852
437,442.2285754924998
487,442.394526784188
178,442.3948949493013
158,442.4657533302306
70,443.0174784481447
470,443.1313557727693
147,443.1577448927464
208,443.36506793403044
20,443.6531323043881
247,443.9083938073919
467,444.11421865469873
252,444.26253182728914
434,444.4011414317971
488,444.74997769525714
378,444.82806597108276
405,444.9488576262812
195,445.266021115359
111,445.34512805997275
259,445.366886393679
146,445.79941800011653
448,446.08945995878935
344,446.4055662139873
182,446.5021191056133
311,446.5045286497773
58,446.98970943040933
297,447.365718696432
236,447.5909508323357
239,447.6365740130399
56,448.20225291691327
294,448.4433882903355
408,448.6285396341714
492,448.67006518554103
59,448.7337044530622
342,448.8578918311514
83,448.85910534886057
116,449.15615946667873
136,449.8083302629209
174,449.92199069744197
251,450.0150093822469
327,450.1983025992671
394,450.4413988971603
52,450.62265642504724
427,450.9822307004409
361,451.7946153978535
69,453.0083210750703
494,453.04870712606515
92,453.38918335755045
153,453.521570621792
285,453.7701729316283
102,454.3358440090928
90,454.6912991228809
113,455.0723335603783
228,455.08747503334524
410,455.55996279485225
323,455.6550589496731
310,456.755299440865
386,457.38271774221175
163,457.5372246316558
38,457.63837550708473
414,457.643015335912
36,457.68720871225486
385,458.34944825507307
223,459.9119778478668
260,460.3184956008483
213,460.69456964934915
238,461.5625832584428
40,461.644840238186
200,461.9212432289985
224,462.0708715972559
281,462.43293978142134
347,462.58398319043766
348,462.8348640046724
140,463.08445927595574
199,463.26796678780636
358,463.4066259111136
133,463.67383904181224
103,464.64908418255806
353,464.9151087633326
302,464.9444615603496
84,465.0214023245375
400,465.3861551268634
322,465.5606984312859
191,465.83206440933293
229,466.09866495087357
249,466.4386425191152
315,466.98380699028377
354,467.0373548607869
381,467.20710715671163
97,467.67596660579073
192,468.4647654680406
351,468.5792569563428
334,468.86546341243627
143,469.1937778543622
288,470.6455121010769
139,470.78477206830206
463,470.92288956663276
268,470.9945747889037
374,471.3075003700414
24,471.309519855153
156,471.59945704694434
122,471.8536423784272
93,472.2826766065824
313,472.4405032654562
125,473.5533482360799
51,473.6524237115981
154,474.55888373903883
312,474.99286382081743
151,475.3259462171758
404,475.32992684154857
458,475.5262954710412
206,475.5344063453918
41,475.6960743290774
23,475.8667938890841
274,475.8874451480613
123,476.0580840040772
9,476.1392148764616
210,477.2153576994736
304,478.12069579196964
203,479.0264015925561
466,479.3223096489005
339,480.07910660660326
243,480.4793991259644
22,481.50190002003677
293,481.59509783827724
77,481.8655299621337
446,481.8687338267631
484,481.91532389818093
165,482.2685215129153
286,482.6193380935065
433,482.81243156734826
290,482.97178250605714
104,483.1228864032261
452,483.73793645528383
2,484.5539023277054
474,484.6235792963212
481,484.9292192928226
477,485.43919641100956
65,486.0828412356433
161,486.4134398455717
66,487.3012754682261
455,488.06298007352933
135,488.26706830148237
141,488.5723628329105
193,489.15960243862304
368,489.50676695550237
338,491.09054538923334
121,491.55990156297094
160,491.6726123620497
256,492.31638806401594
15,492.7224323094383
61,492.82990264665403
254,492.89918741272834
28,492.92160137899214
406,493.08317407693676
401,493.2797553604493
275,494.1437078100993
44,494.1830083032005
35,494.66441239764595
54,495.13999718988384
493,495.24835758451735
25,495.6055073855291
215,495.67453168489016
190,496.22457569934585
390,496.6207290049629
480,496.628004153096
306,496.7325207655504
343,497.52875097899766
216,497.7974972476737
296,498.3235742292589
127,498.4523625801594
170,498.6730702331342
110,498.6744093974139
73,499.2394525525996
72,500.6049704604912
413,501.3625301648897
34,501.60096013336715
261,501.6577941092366
363,501.7115877268395
187,501.7829624333315
181,502.94936261990347
280,503.07220189845543
396,503.7350540232989
420,504.235957038859
377,504.32978485976986
265,504.41907790706364
442,504.7316043690363
341,504.73476455040185
422,505.10788345087434
99,505.3239434356956
445,506.2982535235094
47,506.3521490019103
184,507.7456429408034
303,508.4231293395428
132,508.5757146139552
234,508.8060063728295
407,509.29331017013817
1,510.20091805275615
436,510.40851963719456
491,510.83938885521286
89,511.5282632733147
108,511.55787132521726
244,511.7690138775049
30,511.830359069237
461,512.0919957574647
176,512.1601109776382
78,512.4091853562625
212,513.0415307361628
451,513.5081805753726
95,514.9374123421426
350,514.9777308850626
497,516.4227310934377
391,516.765521100712
148,516.8481819761669
29,517.2174263950537
205,517.7034986298787
57,517.9451393843846
266,519.2439947462019
79,519.437705584858
307,519.68603924505
454,520.2494792504019
371,520.9908621743637
245,521.2821030290754
196,521.5512832222369
324,522.432505795542
476,522.6611668279933
486,522.7817980885834
155,524.0745229511407
240,524.2892016951826
46,524.33861604453
471,524.4568835199648
357,524.4685781534241
283,525.2672265177721
272,527.4716213873995
14,528.6572991445553
180,529.7733257135028
250,531.0350625066068
318,533.7390209762219
500,534.6114428911262
219,535.0815706978539
75,535.6872295778234
63,536.1371604801836
138,538.949245784054
360,540.9873459769022
231,541.6695448938641
444,541.7159867310921
39,542.2924987434186
226,544.3924727266761
336,545.5542656663737
8,546.1140522716726
19,550.2916154998633
88,550.9671345893665
292,553.1609486280755
277,553.3504444323451
258,554.6499480726508
412,554.8193717190591
105,556.3114957277169
387,559.9501161550162
186,560.1155462806423
49,560.6187806911071
299,560.8100077194648
379,564.7543090967483
11,566.3474801196397
173,568.481814333567
393,569.5474583807804
