variable,level,std,mean
U,1000,6.0761532856545495,-0.4012036280949351
U,925,7.8438841318137085,0.1875586020534487
U,850,8.117545798838897,1.0676392264524672
U,700,9.161262910521476,3.1993547283822656
U,600,10.351920350301654,4.753506500293617
U,500,12.020863918100371,6.643045555863143
U,400,14.37786455089647,9.166420770646372
U,300,17.368910160479544,12.604205075841238
U,250,18.63126418939197,14.458098693848147
U,200,18.826071570402007,15.603421939654016
U,150,17.338743800703853,14.694208759254527
U,100,14.207755780676433,10.084541123485184
U,50,14.828288062604061,3.447298300210448
V,1000,5.0562302721142185,0.1881812905956076
V,925,6.087634459436962,0.18351119177675437
V,850,5.788139666651214,0.08865528649740444
V,700,6.326620906882278,-0.01624326876106696
V,600,7.18152443362136,-0.046446792220198006
V,500,8.45848562350414,-0.032289933410975316
V,400,10.38343861775161,-0.02010503440455113
V,300,12.609499025107015,-0.025803734238538843
V,250,13.057155983469311,-0.04324580333432856
V,200,12.04089626815829,-0.07330144652625546
V,150,9.733874174308893,-0.06046714286886432
V,100,7.052043591267376,0.016139828470052277
V,50,5.626839932669169,0.000506756767366129
T,1000,13.3926808838397,288.34811963631944
T,925,12.75887207878649,284.14180529926887
T,850,12.337912690900826,281.1236718383152
T,700,11.485912313471955,273.6522781145025
T,600,10.914242703518575,266.8225997851199
T,500,10.947319271596404,258.48344241794354
T,400,10.889317302118906,247.5078738667765
T,300,9.38121872205424,233.2984452545507
T,250,7.28726013236191,225.6329557585312
T,200,5.29271246649905,218.53493343877926
T,150,7.447585393440247,211.46310701251957
T,100,11.427625612914374,204.83933151080333
T,50,7.494050550499991,211.44287440973292
Z,1000,893.4657098478391,935.5049140418249
Z,925,1008.7658942548571,7360.676041141024
Z,850,1197.2156800245555,14248.78134896371
Z,700,1736.7489061933863,29767.144398835746
Z,600,2188.213530821762,41747.04921153613
Z,500,2729.9217253050874,55509.29599258445
Z,400,3402.601245989482,71726.5567290568
Z,300,4213.390725518206,91575.34112031905
Z,250,4602.533249864132,103579.02469155286
Z,200,4831.571016444258,117791.77588622355
Z,150,4711.8643515216945,135539.4191093247
Z,100,4105.159434190763,159702.46332065153
Z,50,3851.9190680022352,200924.18906200194
Q,1000,0.005781177709317301,0.00936470198136523
Q,925,0.004981825818460944,0.008008882445730241
Q,850,0.004179579792520903,0.006031608541363992
Q,700,0.002737859580661181,0.0031682692015671905
Q,600,0.0019479582011688481,0.0019997242562778714
Q,500,0.0012087878889463929,0.0011044648648525284
Q,400,0.0005684813340060475,0.0005001939892631466
Q,300,0.00018788822542209214,0.00016860593486309685
Q,250,8.253217825122686e-05,7.728339864456503e-05
Q,200,2.476106074180645e-05,2.5977126545155267e-05
Q,150,4.08396736011409e-06,6.446599195006216e-06
Q,100,6.154373024833254e-07,2.6868721151493317e-06
Q,50,2.5960505606920645e-07,2.6752383145132987e-06
tcwv,-1,16.707112756025314,24.224098621015028
tas,-1,15.355112655773071,287.40642670567786
uas,-1,5.436672873915895,-0.3751276131251324
vas,-1,4.491587780564064,0.18441198768158903
100u,-1,6.684378709883516,-0.36058662354821425
100v,-1,5.613643415909631,0.1893235299805761
pres_msl,-1,1109.2809461275167,101138.98195665042
sst,-1,8.851771853018453,290.8944586515412
sic,-1,0.18702627733432053,0.04226433445734063
orog,-1.0,627.3885284872,232.56013904090733
lfrac,-1.0,0.4695501683565522,0.3410480857539571